Exercise Name | Primary Muscles | Secondary Muscles | Equipment | Category
Hang Snatch | hamstrings | abdominals,calves,forearms,glutes,lower back,quadriceps,shoulders,traps | barbell | olympic weightlifting
Hamstring-SMR | hamstrings |  | foam roll | stretching
Supine Chest Throw | triceps | chest,shoulders | medicine ball | plyometrics
Clean and Press | shoulders | abdominals,calves,glutes,hamstrings,lower back,middle back,quadriceps,shoulders,traps,triceps | barbell | strength
Straight-Arm Dumbbell Pullover | chest | lats,shoulders,triceps | dumbbell | strength
Speed Squats | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Bench Sprint | quadriceps | calves,glutes,hamstrings | other | plyometrics
Prone Manual Hamstring | hamstrings |  | None | strength
Middle Back Stretch | middle back | abdominals,lats,lower back | None | stretching
High Cable Curls | biceps |  | cable | strength
Overhead Slam | lats |  | medicine ball | plyometrics
Ab Crunch Machine | abdominals |  | machine | strength
Barbell Incline Bench Press - Medium Grip | chest | shoulders,triceps | barbell | strength
IT Band and Glute Stretch | abductors |  | other | stretching
Seated One-Arm Dumbbell Palms-Down Wrist Curl | forearms |  | dumbbell | strength
Barbell Side Bend | abdominals | lower back | barbell | strength
Plyo Push-up | chest | shoulders,triceps | body only | plyometrics
Spider Curl | biceps |  | e-z curl bar | strength
Standing Low-Pulley One-Arm Triceps Extension | triceps | chest,shoulders | cable | strength
Band Pull Apart | shoulders | middle back,traps | bands | strength
Goblet Squat | quadriceps | calves,glutes,hamstrings,shoulders | kettlebells | strength
Physioball Hip Bridge | glutes | hamstrings | exercise ball | strength
Kneeling Arm Drill | shoulders | abdominals | None | plyometrics
Dip Machine | triceps | chest,shoulders | machine | strength
Weighted Sissy Squat | quadriceps | calves,glutes,hamstrings | barbell | strength
Speed Band Overhead Triceps | triceps |  | bands | strength
Upper Back Stretch | middle back | middle back | None | stretching
Sled Overhead Backward Walk | shoulders | calves,middle back,quadriceps | other | strength
On-Your-Back Quad Stretch | quadriceps |  | other | stretching
External Rotation with Band | shoulders |  | bands | strength
Car Deadlift | quadriceps | forearms,glutes,hamstrings,lower back,traps | other | strongman
Bent Press | abdominals | glutes,hamstrings,lower back,quadriceps,shoulders,triceps | kettlebells | strength
Seated Bent-Over One-Arm Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Front Squats With Two Kettlebells | quadriceps | calves,glutes | kettlebells | strength
Dumbbell Squat To A Bench | quadriceps | calves,glutes,hamstrings,lower back | dumbbell | strength
Sandbag Load | quadriceps | abdominals,biceps,calves,forearms,glutes,hamstrings,lower back,middle back,shoulders,traps | other | strongman
Reverse Band Bench Press | triceps | chest,forearms,lats,middle back,shoulders | barbell | powerlifting
One-Arm Kettlebell Snatch | shoulders | calves,glutes,hamstrings,lower back,traps,triceps | kettlebells | strength
Preacher Hammer Dumbbell Curl | biceps | forearms | dumbbell | strength
Brachialis-SMR | biceps |  | foam roll | stretching
One Knee To Chest | glutes | hamstrings,lower back | None | stretching
Standing Cable Wood Chop | abdominals | shoulders | cable | strength
Rack Delivery | shoulders | forearms,traps | barbell | olympic weightlifting
Shoulder Stretch | shoulders |  | None | stretching
Incline Push-Up Close-Grip | triceps | chest,shoulders | body only | strength
Supine Two-Arm Overhead Throw | abdominals | chest,lats,shoulders | medicine ball | plyometrics
Cross-Body Crunch | abdominals |  | body only | strength
Otis-Up | abdominals | chest,shoulders,triceps | other | strength
Cable One Arm Tricep Extension | triceps |  | cable | strength
Piriformis-SMR | glutes |  | foam roll | stretching
Front Cable Raise | shoulders |  | cable | strength
Knee/Hip Raise On Parallel Bars | abdominals |  | other | strength
Iron Crosses (stretch) | quadriceps |  | None | stretching
Full Range-Of-Motion Lat Pulldown | lats | biceps,middle back,shoulders | cable | strength
One-Arm High-Pulley Cable Side Bends | abdominals |  | cable | strength
Smith Machine Leg Press | quadriceps | calves,glutes,hamstrings | machine | strength
Single-Leg Lateral Hop | quadriceps | abductors,adductors,calves,hamstrings | other | plyometrics
Straight-Arm Pulldown | lats |  | cable | strength
Kneeling Cable Crunch With Alternating Oblique Twists | abdominals |  | cable | strength
Pallof Press | abdominals | chest,shoulders,triceps | cable | strength
Around The Worlds | chest | shoulders | dumbbell | strength
Palms-Up Barbell Wrist Curl Over A Bench | forearms |  | barbell | strength
Lateral Box Jump | adductors | abductors,calves,glutes,hamstrings,quadriceps | other | plyometrics
Triceps Overhead Extension with Rope | triceps |  | cable | strength
Knee Across The Body | glutes | abductors,lower back | None | stretching
Stiff-Legged Dumbbell Deadlift | hamstrings | glutes,lower back | dumbbell | strength
Rope Crunch | abdominals |  | cable | strength
Oblique Crunches - On The Floor | abdominals |  | body only | strength
Dumbbell Raise | shoulders | biceps | dumbbell | strength
Machine Preacher Curls | biceps |  | machine | strength
Kettlebell Pass Between The Legs | abdominals | glutes,hamstrings,shoulders | kettlebells | strength
Plate Pinch | forearms |  | other | strength
Dumbbell Side Bend | abdominals |  | dumbbell | strength
Side Leg Raises | adductors |  | body only | stretching
Weighted Jump Squat | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
One-Arm Kettlebell Military Press To The Side | shoulders | triceps | kettlebells | strength
Sled Push | quadriceps | calves,chest,glutes,hamstrings,triceps | other | strongman
Chest Stretch on Stability Ball | chest |  | exercise ball | stretching
Quick Leap | quadriceps | calves,hamstrings | other | plyometrics
Smith Machine Pistol Squat | quadriceps | calves,glutes,hamstrings | machine | strength
Barbell Shoulder Press | shoulders | chest,triceps | barbell | strength
Reverse Band Power Squat | quadriceps | adductors,calves,glutes,hamstrings,lower back | barbell | powerlifting
Lower Back Curl | abdominals |  | body only | stretching
Frog Hops | quadriceps | calves,glutes,hamstrings | None | stretching
Rope Straight-Arm Pulldown | lats |  | cable | strength
Squat with Chains | quadriceps | adductors,calves,glutes,hamstrings,lower back | barbell | powerlifting
Keg Load | lower back | abdominals,biceps,calves,forearms,glutes,hamstrings,middle back,quadriceps,shoulders,traps | other | strongman
Reverse Machine Flyes | shoulders |  | machine | strength
Double Kettlebell Snatch | shoulders | glutes,hamstrings,quadriceps | kettlebells | strength
Drag Curl | biceps | forearms | barbell | strength
Thigh Adductor | adductors | glutes,hamstrings | machine | strength
Cable Seated Lateral Raise | shoulders | middle back,traps | cable | strength
EZ-Bar Skullcrusher | triceps | forearms | e-z curl bar | strength
Tuck Crunch | abdominals |  | body only | strength
One-Arm Kettlebell Row | middle back | biceps,lats | kettlebells | strength
Romanian Deadlift from Deficit | hamstrings | forearms,glutes,lower back,traps | barbell | olympic weightlifting
Barbell Shrug Behind The Back | traps | forearms,middle back | barbell | strength
Single Leg Butt Kick | quadriceps | calves,hamstrings | body only | plyometrics
Ball Leg Curl | hamstrings | calves,glutes | exercise ball | strength
Standing Toe Touches | hamstrings | calves | None | stretching
Muscle Snatch | hamstrings | glutes,lower back,quadriceps,shoulders,triceps | barbell | olympic weightlifting
Incline Inner Biceps Curl | biceps |  | dumbbell | strength
Triceps Stretch | triceps | lats | None | stretching
Log Lift | shoulders | abdominals,chest,glutes,hamstrings,lower back,middle back,quadriceps,traps,triceps | other | strongman
Tricep Dumbbell Kickback | triceps |  | dumbbell | strength
Chest Push from 3 point stance | chest | abdominals,shoulders,triceps | medicine ball | plyometrics
One Leg Barbell Squat | quadriceps | calves,glutes,hamstrings | barbell | strength
Weighted Ball Side Bend | abdominals |  | exercise ball | strength
Iron Cross | shoulders | chest,glutes,hamstrings,lower back,quadriceps,traps | dumbbell | strength
Lying Glute | glutes | abductors | body only | stretching
Sumo Deadlift with Bands | hamstrings | adductors,forearms,glutes,lower back,middle back,quadriceps,traps | barbell | powerlifting
Janda Sit-Up | abdominals |  | body only | strength
Muscle Up | lats | abdominals,biceps,forearms,middle back,shoulders,traps,triceps | other | strength
Sumo Deadlift with Chains | hamstrings | abductors,adductors,forearms,glutes,lower back,middle back,quadriceps,traps | barbell | powerlifting
Elliptical Trainer | quadriceps | calves,glutes,hamstrings | machine | cardio
Ankle Circles | calves |  | None | stretching
Leg Press | quadriceps | calves,glutes,hamstrings | machine | strength
Dumbbell Prone Incline Curl | biceps |  | dumbbell | strength
Barbell Ab Rollout | abdominals | lower back,shoulders | barbell | strength
Underhand Cable Pulldowns | lats | biceps,middle back,shoulders | cable | strength
Upright Row - With Bands | traps | shoulders | bands | strength
Alternating Kettlebell Row | middle back | biceps,lats | kettlebells | strength
One-Arm Kettlebell Split Snatch | shoulders | hamstrings,quadriceps | kettlebells | strength
Rope Jumping | quadriceps | calves,hamstrings | other | cardio
Seated Bent-Over Rear Delt Raise | shoulders |  | dumbbell | strength
One Handed Hang | lats | biceps | other | stretching
Decline Smith Press | chest | shoulders,triceps | machine | strength
Reverse Cable Curl | biceps | forearms | cable | strength
Drop Push | chest | shoulders,triceps | other | plyometrics
Cat Stretch | lower back | middle back,traps | None | stretching
Dumbbell Floor Press | triceps | chest,shoulders | dumbbell | powerlifting
Smith Machine Close-Grip Bench Press | triceps | chest,shoulders | machine | strength
Push Press | shoulders | quadriceps,triceps | barbell | olympic weightlifting
Chair Leg Extended Stretch | hamstrings | adductors | other | stretching
Box Squat | quadriceps | adductors,calves,glutes,hamstrings,lower back | barbell | powerlifting
Catch and Overhead Throw | lats | abdominals,chest,shoulders | medicine ball | plyometrics
Dumbbell Seated One-Leg Calf Raise | calves |  | dumbbell | strength
Spider Crawl | abdominals | chest,shoulders,triceps | body only | strength
Chair Upper Body Stretch | shoulders | biceps,chest | other | stretching
Incline Barbell Triceps Extension | triceps | forearms | barbell | strength
Olympic Squat | quadriceps | calves,glutes,hamstrings | barbell | olympic weightlifting
Board Press | triceps | chest,forearms,lats,shoulders | barbell | powerlifting
Sledgehammer Swings | abdominals | calves,forearms,lats,middle back,shoulders | other | plyometrics
Kneeling High Pulley Row | lats | biceps,middle back | cable | strength
Single Leg Glute Bridge | glutes | hamstrings | body only | strength
Latissimus Dorsi-SMR | lats |  | foam roll | stretching
Power Partials | shoulders |  | dumbbell | strength
Weighted Pull Ups | lats | biceps,middle back | other | strength
Toe Touchers | abdominals |  | body only | stretching
Push Up to Side Plank | chest | abdominals,shoulders,triceps | body only | strength
Standing Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Elbows Back | chest | shoulders | None | stretching
Clean and Jerk | shoulders | abdominals,glutes,hamstrings,lower back,quadriceps,traps,triceps | barbell | olympic weightlifting
Band Assisted Pull-Up | lats | abdominals,forearms,middle back | other | strength
Seated Floor Hamstring Stretch | hamstrings | calves | None | stretching
Incline Cable Chest Press | chest | shoulders,triceps | cable | strength
Alternate Leg Diagonal Bound | quadriceps | abductors,adductors,calves,glutes,hamstrings | None | plyometrics
Monster Walk | abductors |  | bands | strength
Kettlebell Dead Clean | hamstrings | calves,glutes,lower back,quadriceps,traps | kettlebells | strength
Leverage Chest Press | chest | shoulders,triceps | machine | strength
Alternate Incline Dumbbell Curl | biceps | forearms | dumbbell | strength
Front Dumbbell Raise | shoulders |  | dumbbell | strength
Atlas Stones | lower back | abdominals,adductors,biceps,calves,forearms,glutes,hamstrings,middle back,quadriceps,traps | other | strongman
Bottoms Up | abdominals |  | body only | strength
Barbell Shrug | traps |  | barbell | strength
Upright Barbell Row | shoulders | traps | barbell | strength
Wrist Roller | forearms | shoulders | other | strength
Finger Curls | forearms |  | barbell | strength
Calf Press | calves |  | machine | strength
Calf Press On The Leg Press Machine | calves |  | machine | strength
Shoulder Circles | shoulders | traps | None | stretching
Cable Shrugs | traps |  | cable | strength
Upright Cable Row | traps | shoulders | cable | strength
Russian Twist | abdominals | lower back | body only | strength
Sit-Up | abdominals |  | body only | strength
Shoulder Press - With Bands | shoulders | triceps | bands | strength
Wide-Grip Lat Pulldown | lats | biceps,middle back,shoulders | cable | strength
Double Kettlebell Jerk | shoulders | calves,quadriceps,triceps | kettlebells | strength
Standing Dumbbell Reverse Curl | biceps | forearms | dumbbell | strength
Two-Arm Kettlebell Jerk | shoulders | calves,quadriceps,triceps | kettlebells | strength
Decline EZ Bar Triceps Extension | triceps |  | barbell | strength
Smith Single-Leg Split Squat | quadriceps | calves,glutes,hamstrings | machine | strength
Lying Face Down Plate Neck Resistance | neck |  | other | strength
Knee Circles | calves | hamstrings,quadriceps | body only | stretching
Glute Ham Raise | hamstrings | calves,glutes | machine | powerlifting
Rowing, Stationary | quadriceps | biceps,calves,glutes,hamstrings,lower back,middle back | machine | cardio
Standing Hip Flexors | quadriceps |  | None | stretching
Standing Barbell Calf Raise | calves |  | barbell | strength
Kettlebell One-Legged Deadlift | hamstrings | glutes,lower back | kettlebells | strength
Alternating Cable Shoulder Press | shoulders | triceps | cable | strength
Kettlebell Windmill | abdominals | glutes,hamstrings,shoulders,triceps | kettlebells | strength
Rack Pulls | lower back | forearms,glutes,hamstrings,traps | barbell | powerlifting
Suspended Reverse Crunch | abdominals |  | other | strength
Scissors Jump | quadriceps | glutes,hamstrings | body only | plyometrics
Peroneals-SMR | calves |  | foam roll | stretching
Alternating Deltoid Raise | shoulders |  | dumbbell | strength
Hammer Grip Incline DB Bench Press | chest | shoulders,triceps | dumbbell | strength
Overhead Triceps | triceps | lats | body only | stretching
Hug Knees To Chest | lower back | glutes | None | stretching
Leverage Decline Chest Press | chest | shoulders,triceps | machine | strength
Dumbbell One-Arm Triceps Extension | triceps |  | dumbbell | strength
Barbell Walking Lunge | quadriceps | calves,glutes,hamstrings | barbell | strength
Press Sit-Up | abdominals | chest,shoulders,triceps | barbell | strength
Walking, Treadmill | quadriceps | calves,glutes,hamstrings | machine | cardio
Standing Olympic Plate Hand Squeeze | forearms | biceps | other | strength
Weighted Ball Hyperextension | lower back | glutes,hamstrings,middle back | exercise ball | strength
Side Neck Stretch | neck |  | None | stretching
Ankle On The Knee | glutes |  | None | stretching
On Your Side Quad Stretch | quadriceps |  | None | stretching
Decline Push-Up | chest | shoulders,triceps | None | strength
Deadlift with Chains | lower back | forearms,glutes,hamstrings,middle back,quadriceps,traps | barbell | powerlifting
Pull Through | glutes | hamstrings,lower back | cable | strength
Sled Drag - Harness | quadriceps | calves,glutes,hamstrings | other | strongman
Flat Bench Lying Leg Raise | abdominals |  | body only | strength
Triceps Pushdown | triceps |  | cable | strength
Natural Glute Ham Raise | hamstrings | calves,glutes,lower back | body only | strength
Sumo Deadlift | hamstrings | adductors,forearms,glutes,lower back,middle back,quadriceps,traps | barbell | powerlifting
Kettlebell Seated Press | shoulders | triceps | kettlebells | strength
Narrow Stance Leg Press | quadriceps | calves,glutes,hamstrings | machine | strength
One-Arm Open Palm Kettlebell Clean | hamstrings | forearms,glutes,lower back,quadriceps,shoulders | kettlebells | strength
Leg-Up Hamstring Stretch | hamstrings |  | None | stretching
Preacher Curl | biceps |  | barbell | strength
Smith Incline Shoulder Raise | shoulders | chest | barbell | strength
Butt-Ups | abdominals |  | body only | strength
Rack Pull with Bands | lower back | forearms,glutes,hamstrings,quadriceps,traps | barbell | powerlifting
Wrist Rotations with Straight Bar | forearms |  | barbell | strength
Wrist Circles | forearms |  | body only | stretching
Zottman Curl | biceps | forearms | dumbbell | strength
Alternating Floor Press | chest | abdominals,shoulders,triceps | kettlebells | strength
Single-Leg Leg Extension | quadriceps |  | machine | strength
Leverage Shoulder Press | shoulders | triceps | machine | strength
Push-Ups With Feet On An Exercise Ball | chest | shoulders,triceps | exercise ball | strength
Dancer's Stretch | lower back | abductors,glutes | None | stretching
Split Squat with Dumbbells | quadriceps | glutes,hamstrings | dumbbell | strength
Lying Triceps Press | triceps |  | e-z curl bar | strength
Cable Internal Rotation | shoulders |  | cable | strength
Seated Good Mornings | lower back | glutes | barbell | powerlifting
Bench Dips | triceps | chest,shoulders | body only | strength
Standing Barbell Press Behind Neck | shoulders | triceps | barbell | strength
Smith Machine Bent Over Row | middle back | biceps,lats,shoulders | machine | strength
Palms-Down Wrist Curl Over A Bench | forearms |  | barbell | strength
Hyperextensions With No Hyperextension Bench | lower back | glutes,hamstrings | body only | strength
Reverse Triceps Bench Press | triceps | chest,shoulders | barbell | strength
Close-Grip EZ Bar Curl | biceps | forearms | barbell | strength
Iliotibial Tract-SMR | abductors |  | foam roll | stretching
Smith Machine Reverse Calf Raises | calves |  | machine | strength
Seated Triceps Press | triceps |  | dumbbell | strength
Mixed Grip Chin | middle back | biceps,lats | other | strength
Leg Lift | glutes | hamstrings | body only | strength
Peroneals Stretch | calves |  | other | stretching
Single-Cone Sprint Drill | quadriceps | calves,glutes,hamstrings | other | plyometrics
Lying Close-Grip Bar Curl On High Pulley | biceps |  | cable | strength
Standing Elevated Quad Stretch | quadriceps |  | other | stretching
Balance Board | calves | hamstrings,quadriceps | other | strength
Isometric Wipers | chest | abdominals,shoulders,triceps | body only | strength
Reverse Barbell Preacher Curls | biceps | forearms | e-z curl bar | strength
Dumbbell Lying Pronation | forearms |  | dumbbell | strength
Cable Rope Overhead Triceps Extension | triceps |  | cable | strength
Glute Kickback | glutes | hamstrings | body only | strength
Weighted Squat | quadriceps | calves,glutes,hamstrings | other | strength
Split Squats | hamstrings | calves,glutes,quadriceps | None | stretching
Crunches | abdominals |  | body only | strength
One Arm Chin-Up | middle back | biceps,forearms,lats | other | strength
Weighted Sit-Ups - With Bands | abdominals |  | other | strength
Smith Machine Bench Press | chest | shoulders,triceps | machine | strength
Single Dumbbell Raise | shoulders | forearms,traps | dumbbell | strength
Bent Over Two-Dumbbell Row With Palms In | middle back | biceps,lats | dumbbell | strength
Barbell Bench Press - Medium Grip | chest | shoulders,triceps | barbell | strength
One-Arm Medicine Ball Slam | abdominals | lats,shoulders | medicine ball | strength
Frog Sit-Ups | abdominals |  | body only | strength
One Arm Floor Press | triceps | chest,shoulders | barbell | strength
Tire Flip | quadriceps | calves,chest,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps | other | strongman
Decline Barbell Bench Press | chest | shoulders,triceps | barbell | strength
Axle Deadlift | lower back | forearms,glutes,hamstrings,middle back,quadriceps,traps | other | strongman
Standing Dumbbell Press | shoulders | triceps | dumbbell | strength
Incline Hammer Curls | biceps |  | dumbbell | strength
Push-Up Wide | chest | abdominals,shoulders,triceps | body only | strength
Reverse Band Box Squat | quadriceps | abductors,adductors,calves,forearms,glutes,hamstrings,lower back | barbell | powerlifting
Barbell Lunge | quadriceps | calves,glutes,hamstrings | barbell | strength
Looking At Ceiling | quadriceps |  | None | stretching
Bench Jump | quadriceps | calves,glutes,hamstrings | body only | plyometrics
Speed Box Squat | quadriceps | calves,glutes,hamstrings | barbell | powerlifting
Seated Dumbbell Press | shoulders | triceps | dumbbell | strength
Dumbbell Shoulder Press | shoulders | triceps | dumbbell | strength
Decline Dumbbell Triceps Extension | triceps |  | dumbbell | strength
Box Squat with Bands | quadriceps | abductors,adductors,calves,glutes,hamstrings,lower back | barbell | powerlifting
Hanging Bar Good Morning | hamstrings | abdominals,glutes,lower back | barbell | powerlifting
Side Lying Groin Stretch | adductors | hamstrings | None | stretching
Clock Push-Up | chest | shoulders,triceps | body only | strength
Wide-Grip Standing Barbell Curl | biceps |  | barbell | strength
Side Laterals to Front Raise | shoulders | traps | dumbbell | strength
Dumbbell One-Arm Shoulder Press | shoulders | triceps | dumbbell | strength
Seated One-arm Cable Pulley Rows | middle back | biceps,lats,traps | cable | strength
Lateral Cone Hops | adductors | abductors,calves,glutes,hamstrings,quadriceps | other | plyometrics
Standing Gastrocnemius Calf Stretch | calves | hamstrings | None | stretching
Bent Over Dumbbell Rear Delt Raise With Head On Bench | shoulders |  | dumbbell | strength
Romanian Deadlift | hamstrings | calves,glutes,lower back | barbell | strength
Narrow Stance Hack Squats | quadriceps | calves,glutes,hamstrings | machine | strength
Standing Bent-Over One-Arm Dumbbell Triceps Extension | triceps | shoulders | dumbbell | strength
Shoulder Raise | shoulders | lats | None | stretching
Wide Stance Barbell Squat | quadriceps | calves,glutes,hamstrings,lower back | barbell | strength
Isometric Chest Squeezes | chest | shoulders,triceps | body only | plyometrics
Reverse Barbell Curl | biceps | forearms | barbell | strength
Standing Two-Arm Overhead Throw | shoulders | chest,lats | medicine ball | plyometrics
Sled Row | middle back | biceps,lats | other | strength
Mountain Climbers | quadriceps | chest,hamstrings,shoulders | None | plyometrics
Two-Arm Kettlebell Military Press | shoulders | triceps | kettlebells | strength
Incline Push-Up Medium | chest | abdominals,shoulders,triceps | body only | strength
One-Arm Kettlebell Floor Press | chest | triceps | kettlebells | strength
Lying Face Up Plate Neck Resistance | neck |  | other | strength
Band Hip Adductions | adductors |  | bands | strength
Two-Arm Dumbbell Preacher Curl | biceps |  | dumbbell | strength
Pushups | chest | shoulders,triceps | body only | strength
Adductor | adductors |  | foam roll | stretching
Double Kettlebell Alternating Hang Clean | hamstrings | biceps,calves,forearms,glutes,lower back,quadriceps,traps | kettlebells | strength
Weighted Crunches | abdominals |  | medicine ball | strength
Seated Dumbbell Inner Biceps Curl | biceps |  | dumbbell | strength
Bear Crawl Sled Drags | quadriceps | calves,glutes,hamstrings | other | strongman
Inverted Row with Straps | middle back | biceps,lats | other | strength
Standing Lateral Stretch | abdominals |  | None | stretching
Decline Reverse Crunch | abdominals |  | body only | strength
Single-Arm Cable Crossover | chest |  | cable | strength
One-Arm Kettlebell Para Press | shoulders | triceps | kettlebells | strength
Triceps Pushdown - Rope Attachment | triceps |  | cable | strength
Barbell Deadlift | lower back | calves,forearms,glutes,hamstrings,lats,middle back,quadriceps,traps | barbell | strength
Leverage Iso Row | lats | biceps,middle back | machine | strength
Carioca Quick Step | adductors | abdominals,abductors,calves,glutes,hamstrings,quadriceps | None | plyometrics
Shotgun Row | lats | biceps,middle back | cable | strength
Lateral Bound | adductors | abductors,calves,glutes,hamstrings,quadriceps | body only | plyometrics
Lower Back-SMR | lower back |  | foam roll | stretching
Snatch | quadriceps | biceps,glutes,hamstrings,lower back,shoulders,traps,triceps | barbell | olympic weightlifting
Jefferson Squats | quadriceps | calves,glutes,hamstrings,lower back,traps | barbell | strength
Dead Bug | abdominals |  | body only | strength
Dumbbell Shrug | traps |  | dumbbell | strength
Intermediate Groin Stretch | hamstrings |  | other | stretching
Crunch - Legs On Exercise Ball | abdominals |  | body only | strength
Standing Leg Curl | hamstrings |  | machine | strength
Seated Calf Raise | calves |  | machine | strength
Stairmaster | quadriceps | calves,glutes,hamstrings | machine | cardio
Star Jump | quadriceps | calves,glutes,hamstrings,shoulders | body only | plyometrics
Chin To Chest Stretch | neck | traps | None | stretching
Close-Grip EZ-Bar Press | triceps | chest,shoulders | e-z curl bar | strength
Kneeling Cable Triceps Extension | triceps |  | cable | strength
Seated Hamstring and Calf Stretch | hamstrings | calves | other | stretching
Step Mill | quadriceps | calves,glutes,hamstrings | machine | cardio
Straight Bar Bench Mid Rows | middle back | biceps,lats | barbell | strength
Smith Machine Behind the Back Shrug | traps | shoulders | machine | strength
Standing Alternating Dumbbell Press | shoulders | triceps | dumbbell | strength
Low Cable Crossover | chest | shoulders | cable | strength
V-Bar Pulldown | lats | biceps,middle back,shoulders | cable | strength
Atlas Stone Trainer | lower back | biceps,forearms,glutes,hamstrings,quadriceps | other | strongman
Smith Machine Squat | quadriceps | calves,glutes,hamstrings,lower back | machine | strength
Side To Side Chins | lats | biceps,forearms,middle back,shoulders | other | strength
Torso Rotation | abdominals |  | exercise ball | stretching
Hammer Curls | biceps |  | dumbbell | strength
Standing One-Arm Cable Curl | biceps |  | cable | strength
